Активные соединения с интернетом (w/o servers)
Proto Recv-Q Send-Q Local Address Foreign Address State      
tcp        0      0 localhost:8086          localhost:37094         ESTABLISHED
tcp        0      0 localhost:8086          localhost:54526         TIME_WAIT  
tcp        0      0 localhost:8086          localhost:54530         TIME_WAIT  
tcp        0      0 localhost:8086          localhost:54528         TIME_WAIT  
tcp        0      0 localhost:49510         localhost:3000          TIME_WAIT  
tcp        0      0 localhost:49850         localhost:3000          ESTABLISHED
tcp        0      0 localhost:46330         localhost:3000          TIME_WAIT  
tcp        0      0 localhost:46136         localhost:3000          ESTABLISHED
tcp        0      0 localhost:8086          localhost:54538         TIME_WAIT  
tcp        0      0 macbook-pro:42590       le-in-f95.1e100.n:https ESTABLISHED
tcp        0      0 macbook-pro:50396       45.55.41.223:http       CLOSE_WAIT 
tcp        0      0 localhost:37094         localhost:8086          ESTABLISHED
tcp        0      0 localhost:45928         localhost:3000          ESTABLISHED
tcp        0      0 localhost:8086          localhost:54534         TIME_WAIT  
tcp        0      0 macbook-pro:58374       lt-in-f94.1e100.ne:http TIME_WAIT  
tcp        0      0 macbook-pro:45110       ec2-52-24-164-106:https ESTABLISHED
tcp        0      0 localhost:45978         localhost:3000          ESTABLISHED
tcp        0      0 localhost:8086          localhost:54536         TIME_WAIT  
tcp        0      0 macbook-pro:59436       ec2-52-35-250-5.u:https ESTABLISHED
tcp        0      0 localhost:5555          localhost:43301         TIME_WAIT  
tcp6       0      0 localhost:53614         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:52980         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:53164         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:52658         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:53894         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:53574         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:53278         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:52610         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:51824         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:51884         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:52158         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:52020         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:53728         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:53928         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:51918         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:53250         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:51892         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:52558         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:53974         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:52772         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:52006         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:52988         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:52042         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:51814         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:52418         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:53172         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:51606         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:51810         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:52050         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:52060         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:53942         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:51776         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:52556         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:51960         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:52746         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:53636         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:52348         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:52530         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:53214         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:53758         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:52212         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:51624         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:52068         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:53482         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:53640         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:53950         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:53846         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:52272         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:51778         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:53956         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:53990         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:52052         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:52008         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:52320         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:51816         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:52022         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:53398         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:51678         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:51888         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:53202         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:52656         localhost:5555          TIME_WAIT  
