Активные соединения с интернетом (w/o servers)
Proto Recv-Q Send-Q Local Address Foreign Address State      
tcp6       0      0 localhost:60920         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:56671         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:45070         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:35665         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:55361         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:44324         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:50253         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:36286         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:37070         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:45516         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:39200         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:59898         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:41475         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:55756         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:34226         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:60957         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:52625         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:44595         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:33500         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:59027         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:47066         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:38909         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:38920         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:44811         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:36110         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:53574         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:45260         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:57824         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:60285         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:53278         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:54182         localhost:5555          TIME_WAIT  
